task,station
1,92
2,99
3,100
4,98
5,100
6,99
7,95
8,99
9,100
10,99
11,97
12,94
13,99
14,100
15,96
16,98
17,74
18,98
19,94
20,98
21,97
22,100
23,99
24,91
25,99
26,95
27,98
28,98
29,74
30,99
31,98
32,72
33,30
34,97
35,95
36,74
37,97
38,90
39,74
40,1
41,74
42,1
43,1
44,72
45,97
46,96
47,72
48,95
49,74
50,72
51,94
52,97
53,72
54,72
55,90
56,97
57,90
58,1
59,1
60,96
61,94
62,95
63,72
64,90
65,30
66,97
67,95
68,90
69,92
70,97
71,96
72,90
73,94
74,94
75,96
76,95
77,30
78,30
79,95
80,92
81,92
82,91
83,94
84,94
85,92
86,91
87,91
88,74
89,30
90,90
91,90
92,91
93,1
94,30
95,72
96,74
97,74
98,74
99,91
100,1
