station,load,cycle_time
6,998,1000
7,972,1000
10,949,1000
11,790,1000
14,988,1000
16,895,1000
17,947,1000
28,953,1000
44,992,1000
49,994,1000
52,977,1000
55,981,1000
56,996,1000
58,997,1000
59,946,1000
60,921,1000
61,985,1000
62,991,1000
63,970,1000
65,991,1000
66,973,1000
67,970,1000
68,633,1000
69,985,1000
70,993,1000
71,999,1000
72,994,1000
73,985,1000
74,999,1000
75,995,1000
76,814,1000
77,996,1000
78,694,1000
79,990,1000
80,982,1000
81,602,1000
82,987,1000
83,993,1000
84,959,1000
85,839,1000
86,966,1000
87,672,1000
88,977,1000
89,978,1000
90,974,1000
91,992,1000
92,677,1000
93,986,1000
94,946,1000
96,992,1000
97,985,1000
98,985,1000
99,993,1000
100,916,1000
