instance,Smallest_m,SI_mean,Eff_mean,mu_m,sigma_m,mu_runtime,sigma_runtime,best_run
instance_n=100_19,23,29.523756094254733,0.9727391304347827,23,0.0,5.881678104400635,0.0,1
instance_n=100_32,14,56.27673967609912,0.9589285714285715,14,0.0,1.1334099769592285,0.0,1
instance_n=100_26,14,8.097618697581936,0.9937142857142857,14,0.0,1.7767720222473145,0.0,1
instance_n=100_33,15,86.5744381057904,0.9456,15,0.0,1.0061521530151367,0.0,1
instance_n=100_177,14,29.231831964486933,0.9770714285714286,14,0.0,1.1739251613616943,0.0,1
instance_n=100_163,25,63.387695966961914,0.96288,25,0.0,2.2128660678863525,0.0,1
instance_n=100_2,21,54.99783545524228,0.9648571428571429,21,0.0,1.4214019775390625,0.0,1
instance_n=100_37,14,57.20014984995356,0.9507142857142857,14,0.0,0.9941267967224121,0.0,1
instance_n=100_1,23,15.826505011200837,0.9879565217391304,23,0.0,3.6716132164001465,0.0,1
instance_n=100_20,21,62.53418112939362,0.9571428571428572,21,0.0,1.085684061050415,0.0,1
instance_n=100_34,15,49.35179834615958,0.9658666666666667,15,0.0,1.061640977859497,0.0,1
instance_n=100_46,14,46.299490895072026,0.9699285714285715,14,0.0,1.1278607845306396,0.0,1
instance_n=100_47,14,25.48809245790781,0.9827857142857143,14,0.0,1.2249460220336914,0.0,1
instance_n=100_40,14,20.078417695198425,0.9855714285714285,14,0.0,1.2034649848937988,0.0,1
instance_n=100_43,14,7.653197277702214,0.9948571428571429,14,0.0,2.8964948654174805,0.0,1
instance_n=100_57,53,108.447187390131,0.9435094339622642,53,0.0,70.04283618927002,0.0,1
instance_n=100_67,54,117.52273223760837,0.938037037037037,54,0.0,70.05877709388733,0.0,1
instance_n=100_72,53,114.74228711695696,0.9323207547169812,53,0.0,70.04004502296448,0.0,1
instance_n=100_48,15,63.85661020338197,0.9535333333333333,15,0.0,1.1854541301727295,0.0,1
instance_n=100_336,15,21.275964529643932,0.9821333333333333,15,0.0,1.1135680675506592,0.0,1
instance_n=100_193,15,34.564914773992044,0.9763333333333334,15,0.0,1.3561220169067383,0.0,1
instance_n=100_38,14,34.71002325389187,0.9783571428571428,14,0.0,1.140829086303711,0.0,1
instance_n=100_39,14,37.49380901276522,0.9686428571428571,14,0.0,1.116469144821167,0.0,1
instance_n=100_13,24,32.18501203976783,0.9770416666666667,24,0.0,3.16556715965271,0.0,1
instance_n=100_17,22,66.97828684798462,0.9530909090909091,22,0.0,70.04952216148376,0.0,1
instance_n=100_8,24,35.634720895965124,0.9728333333333333,24,0.0,2.2814431190490723,0.0,1
instance_n=100_15,24,58.3263091008966,0.9597916666666667,24,0.0,1.5086288452148438,0.0,1
instance_n=100_28,14,9.7357955137582,0.9915,14,0.0,4.998013973236084,0.0,1
instance_n=100_9,24,67.083281573479,0.9511666666666667,24,0.0,70.03404521942139,0.0,1
instance_n=100_183,14,51.419840528729765,0.9618571428571429,14,0.0,1.145399808883667,0.0,1
