instance,Smallest_m,SI_mean,Eff_mean,mu_m,sigma_m,mu_runtime,sigma_runtime,best_run
instance_n=50_52,11,77.14449252715794,0.9454545454545454,11,0.0,0.14694714546203613,0.0,1
instance_n=50_172,7,74.43021659821461,0.9455714285714286,7,0.0,0.19550395011901855,0.0,1
instance_n=50_372,10,6.54217089351845,0.9952,10,0.0,4.44357705116272,0.0,1
instance_n=50_44,25,90.38982243593578,0.93256,25,0.0,50.00836515426636,0.0,1
instance_n=50_160,8,89.1592676057851,0.938875,8,0.0,0.2428569793701172,0.0,1
instance_n=50_57,13,61.69403412124908,0.9506923076923077,13,0.0,0.2605729103088379,0.0,1
instance_n=50_43,25,50.30506932705689,0.95952,25,0.0,3.263751983642578,0.0,1
instance_n=50_19,8,41.569219381653056,0.95975,8,0.0,0.22044610977172852,0.0,1
instance_n=50_31,28,166.25700844518664,0.8771785714285715,28,0.0,10.332625150680542,0.0,1
instance_n=50_3,8,95.3565676815184,0.936375,8,0.0,0.14510011672973633,0.0,1
instance_n=50_306,7,115.84225727871747,0.9132857142857143,7,0.0,0.1979231834411621,0.0,1
instance_n=50_24,7,136.79964494523682,0.9091428571428571,7,0.0,0.179976224899292,0.0,1
instance_n=50_4,7,41.26222762492869,0.9575714285714285,7,0.0,0.16492795944213867,0.0,1
instance_n=50_22,7,29.228166454393172,0.9751428571428571,7,0.0,0.15264320373535156,0.0,1
instance_n=50_20,8,62.247489909232485,0.94975,8,0.0,0.19301390647888184,0.0,1
instance_n=50_10,7,64.57774937457727,0.9487142857142857,7,0.0,0.1701960563659668,0.0,1
instance_n=50_318,8,140.07854939283175,0.916,8,0.0,0.1753849983215332,0.0,1
instance_n=50_324,7,163.8732088275218,0.9124285714285715,7,0.0,0.20272517204284668,0.0,1
instance_n=50_12,6,8.669871202426636,0.9931666666666666,6,0.0,0.25366902351379395,0.0,1
instance_n=50_16,8,100.66156168071306,0.9185,8,0.0,0.18489909172058105,0.0,1
instance_n=50_322,7,131.03325641116567,0.9311428571428572,7,0.0,0.15622663497924805,0.0,1
instance_n=50_14,7,47.113843885999,0.9604285714285714,7,0.0,0.13361406326293945,0.0,1
instance_n=50_152,7,80.88616339381804,0.942,7,0.0,0.22041797637939453,0.0,1
instance_n=50_72,11,138.25470565721673,0.9330909090909091,11,0.0,0.22163701057434082,0.0,1
instance_n=50_59,11,26.407643521594963,0.9758181818181818,11,0.0,0.29952216148376465,0.0,1
instance_n=50_61,13,83.81160191396306,0.9383076923076923,13,0.0,0.2199099063873291,0.0,1
instance_n=50_74,12,80.53208470334458,0.9340833333333334,12,0.0,0.26325511932373047,0.0,1
instance_n=50_368,12,54.656503120244835,0.9311666666666667,12,0.0,0.26538920402526855,0.0,1
instance_n=50_369,12,22.018931248662668,0.9771666666666666,12,0.0,0.3268280029296875,0.0,1
instance_n=50_63,12,99.37471173962385,0.9345,12,0.0,0.2065119743347168,0.0,1
