instance,Smallest_m,SI_mean,Eff_mean,mu_m,sigma_m,mu_runtime,sigma_runtime,best_run
instance_n=20_261,12,212.05620324181356,0.8441666666666666,12,0.0,0.6438171863555908,0.0,1
instance_n=20_262,11,172.80756507009335,0.8687272727272727,11,0.0,0.7920877933502197,0.0,1
instance_n=20_114,13,268.4438058944123,0.7848461538461539,13,0.0,0.3460550308227539,0.0,1
instance_n=20_505,6,187.91975237673483,0.8818333333333334,6,0.0,0.04720926284790039,0.0,1
instance_n=20_288,6,201.13594076312336,0.8376666666666667,6,0.0,0.045198917388916016,0.0,1
instance_n=20_514,5,248.8208190646434,0.7892,5,0.0,0.8191139698028564,0.0,1
instance_n=20_270,7,189.03060976617365,0.8252857142857143,7,0.0,20.00440287590027,0.0,1
instance_n=20_271,6,295.52213679068666,0.825,6,0.0,9.026747941970825,0.0,1
instance_n=20_376,3,79.67642896950976,0.9376666666666666,3,0.0,0.03499484062194824,0.0,1
instance_n=20_404,10,190.20541527517034,0.8547,10,0.0,20.006059169769287,0.0,1
instance_n=20_370,3,9.814954576223638,0.9943333333333333,3,0.0,0.060175180435180664,0.0,1
instance_n=20_239,3,17.55942292142123,0.9283333333333333,3,0.0,0.039823055267333984,0.0,1
instance_n=20_373,3,5.887840577551898,0.993,3,0.0,0.0543370246887207,0.0,1
instance_n=20_380,3,48.730551676198644,0.93,3,0.0,0.039092063903808594,0.0,1
instance_n=20_140,5,38.35622504887571,0.9526,5,0.0,0.08481407165527344,0.0,1
instance_n=20_423,6,169.86072726403435,0.8563333333333333,6,0.0,0.03878021240234375,0.0,1
instance_n=20_422,4,108.8278457013645,0.9165,4,0.0,0.04835391044616699,0.0,1
instance_n=20_434,5,65.35441836632012,0.9416,5,0.0,0.037310123443603516,0.0,1
instance_n=20_390,3,6.928203230275509,0.987,3,0.0,0.07379508018493652,0.0,1
instance_n=20_254,12,207.35376373081183,0.8495833333333334,12,0.0,0.8802440166473389,0.0,1
instance_n=20_137,5,95.57614765201619,0.9354,5,0.0,0.04427599906921387,0.0,1
instance_n=20_135,6,261.92078955287224,0.8401666666666666,6,0.0,0.03248190879821777,0.0,1
instance_n=20_445,3,60.93712606722878,0.9223333333333333,3,0.0,0.06876707077026367,0.0,1
instance_n=20_487,12,233.26701438480325,0.7998333333333333,12,0.0,0.222243070602417,0.0,1
instance_n=20_252,11,214.39492022476142,0.8644545454545455,11,0.0,0.6199471950531006,0.0,1
instance_n=20_440,5,244.11226925330894,0.8046,5,0.0,0.03836798667907715,0.0,1
instance_n=20_125,5,122.34704736935828,0.8462,5,0.0,0.052143096923828125,0.0,1
instance_n=20_509,4,29.236107812087436,0.95875,4,0.0,0.04925966262817383,0.0,1
instance_n=20_247,11,207.03183769213328,0.8622727272727273,11,0.0,0.2809619903564453,0.0,1
instance_n=20_245,13,234.26825517900497,0.7983846153846154,13,0.0,0.09887409210205078,0.0,1
