Station,Load,Capacity,Idle,Tasks
1,990,1000,10,"[20, 24, 8, 22, 19]"
2,953,1000,47,"[10, 25, 27, 17, 15, 23]"
3,975,1000,25,"[26, 47, 72, 117, 125, 153, 166]"
4,971,1000,29,"[36, 51, 13, 7, 6, 14]"
5,981,1000,19,"[31, 39, 52, 5, 85, 106, 133, 145, 170]"
6,985,1000,15,"[195, 194, 201, 99, 131, 147, 171, 181]"
7,990,1000,10,"[101, 203, 173, 175, 40, 46]"
8,937,1000,63,"[107, 169, 176, 54, 80, 95, 120]"
9,961,1000,39,"[68, 82, 199, 220, 243, 264, 287, 307, 96, 3]"
10,994,1000,6,"[322, 219, 242, 273, 299, 319, 334, 350]"
11,994,1000,6,"[341, 67, 368, 385, 188, 204, 230]"
12,970,1000,30,"[245, 262, 298, 305, 61, 89]"
13,995,1000,5,"[202, 21, 29, 9, 34, 44, 79, 367, 214]"
14,963,1000,37,"[222, 76, 112, 123, 43, 225]"
15,991,1000,9,"[97, 251, 113, 126, 283, 261, 50, 140]"
16,997,1000,3,"[49, 308, 337, 348, 146, 160, 215, 241, 124]"
17,993,1000,7,"[268, 284, 382, 132, 151, 1, 416, 424]"
18,992,1000,8,"[408, 235, 250, 259, 42, 45, 437]"
19,952,1000,48,"[442, 158, 119, 128, 136, 455, 475]"
20,974,1000,26,"[512, 521, 546, 565, 581, 605, 613, 632]"
21,925,1000,75,"[229, 103, 130, 148, 324, 361]"
22,982,1000,18,"[372, 161, 343, 369, 391]"
23,981,1000,19,"[328, 360, 375, 383, 420, 440]"
24,967,1000,33,"[452, 470, 496, 513, 527, 552]"
25,975,1000,25,"[98, 560, 580, 600, 254, 270, 279]"
26,987,1000,13,"[429, 443, 295, 417, 433, 137, 359, 364, 620]"
27,987,1000,13,"[624, 105, 121, 478, 500, 474, 318, 320]"
28,997,1000,3,"[499, 517, 534, 645, 656, 695, 705, 451, 467, 490]"
29,998,1000,2,"[510, 724, 523, 554, 558, 180, 539]"
30,997,1000,3,"[559, 4, 184, 414, 200, 426, 572]"
31,977,1000,23,"[733, 589, 619, 637, 643, 759]"
32,966,1000,34,"[653, 777, 791, 807, 821, 844, 860, 886]"
33,968,1000,32,"[304, 897, 913, 918, 129, 275, 285, 303, 135]"
34,999,1000,1,"[936, 954, 216, 255, 266, 294]"
35,964,1000,36,"[912, 926, 445, 606, 611, 623, 649, 356]"
36,973,1000,27,"[376, 654, 543, 564, 583, 315, 333, 353]"
37,983,1000,17,"[378, 387, 396, 134, 139, 557, 302, 310]"
38,982,1000,18,"[330, 404, 425, 634, 480, 501, 651, 671, 688, 708]"
39,969,1000,31,"[727, 739, 745, 785, 796, 389, 808]"
40,975,1000,25,"[397, 816, 110, 122, 221, 338, 529, 831]"
41,1000,1000,0,"[858, 603, 608, 621, 647, 149, 601, 164]"
42,992,1000,8,"[617, 193, 208, 226, 662]"
43,976,1000,24,"[33, 630, 652, 690, 48, 413, 435, 449, 463, 571]"
44,978,1000,22,"[142, 172, 174, 540, 556, 313, 332]"
45,993,1000,7,"[590, 487, 659, 618, 236]"
46,989,1000,11,"[2, 631, 648, 380, 675, 698, 716]"
47,995,1000,5,"[669, 729, 300, 697, 677, 423, 178, 676, 355]"
48,988,1000,12,"[159, 699, 700, 177, 138, 260, 441, 365]"
49,997,1000,3,"[444, 306, 744, 773, 789, 74, 704, 725, 732]"
50,991,1000,9,"[349, 758, 28, 650, 479, 509, 447]"
51,976,1000,24,"[885, 899, 917, 932, 384, 162, 196, 213]"
52,987,1000,13,"[244, 144, 626, 223, 483, 363]"
53,992,1000,8,"[35, 55, 321, 90, 94, 366, 168]"
54,972,1000,28,"[271, 179, 381, 538, 504, 446]"
55,991,1000,9,"[402, 567, 585, 518, 141, 323, 595, 612, 635, 640]"
56,999,1000,1,"[12, 639, 30, 309, 456, 655, 681]"
57,1000,1000,0,"[292, 709, 614, 573, 853, 892, 911]"
58,978,1000,22,"[924, 69, 813, 830, 848, 326]"
59,990,1000,10,"[362, 281, 828, 835, 866, 542]"
60,981,1000,19,"[482, 874, 889, 561, 578, 599, 609, 638, 476]"
61,985,1000,15,"[683, 485, 514, 531, 549]"
62,957,1000,43,"[778, 801, 809, 155, 439]"
63,988,1000,12,"[453, 582, 167, 401, 432, 258, 951]"
64,992,1000,8,"[722, 966, 974, 465, 901, 935, 945, 780]"
65,988,1000,12,"[772, 788, 736, 747, 766, 793, 805]"
66,969,1000,31,"[827, 846, 584, 591, 291, 317]"
67,968,1000,32,"[329, 234, 239, 506, 505, 964, 976]"
68,997,1000,3,"[212, 991, 823, 658, 689, 711, 719]"
69,983,1000,17,"[743, 748, 776, 888, 914, 263, 920]"
70,997,1000,3,"[950, 296, 352, 900, 412, 431, 905]"
71,998,1000,2,"[672, 923, 660, 787, 802, 41, 806]"
72,986,1000,14,"[58, 822, 400, 537, 566, 586, 642]"
73,990,1000,10,"[666, 62, 916, 767, 868]"
74,967,1000,33,"[882, 799, 811, 820, 847, 862, 884, 890, 734]"
75,984,1000,16,"[770, 751, 779, 838, 865, 876, 893, 902, 933]"
76,999,1000,1,"[473, 942, 898, 354, 108, 687, 340]"
77,985,1000,15,"[740, 701, 374, 73, 570, 190, 210]"
78,974,1000,26,"[233, 906, 873, 276, 694]"
79,983,1000,17,"[325, 702, 238, 272, 152, 829, 836]"
80,983,1000,17,"[331, 663, 154, 163, 183, 764, 418]"
