Task,Station,Time
14,1,49
35,1,179
49,1,77
69,1,38
85,1,130
6,1,56
38,1,56
57,1,323
75,2,472
87,2,37
97,2,322
44,2,141
73,3,22
92,3,178
101,3,280
121,3,274
71,3,176
9,4,120
78,4,69
109,4,590
10,4,192
26,5,576
21,5,407
93,6,92
98,6,132
28,6,63
3,6,230
40,6,438
20,7,154
120,7,157
1,7,256
99,7,150
135,7,266
41,8,149
154,8,35
182,8,532
50,8,252
66,8,26
96,9,364
188,9,346
202,9,270
225,10,556
239,10,107
223,10,104
238,10,230
108,11,295
130,11,432
148,11,266
158,12,32
171,12,219
194,12,254
113,12,100
128,12,379
198,13,60
61,13,68
142,13,47
162,13,139
164,13,101
255,13,90
285,13,80
306,13,94
39,13,284
326,14,398
350,14,302
375,14,239
403,15,260
47,15,457
146,15,271
4,16,213
36,16,186
159,16,228
176,16,105
94,16,209
102,17,319
131,17,145
145,17,78
163,17,215
169,17,83
197,17,159
205,18,73
231,18,338
253,18,177
272,18,276
292,18,122
317,19,134
339,19,228
355,19,536
373,20,235
190,20,439
200,20,226
230,21,253
394,21,546
327,21,124
356,22,232
364,22,186
398,22,533
417,23,537
177,23,291
432,23,33
454,23,49
470,23,65
490,24,135
187,24,187
201,24,213
80,24,193
107,24,209
129,25,251
138,25,54
233,25,575
37,26,77
42,26,428
160,26,97
179,26,360
196,27,81
283,27,318
308,27,557
63,28,155
185,28,74
203,28,175
323,28,555
506,29,428
234,29,409
245,29,161
263,30,68
516,30,205
236,30,216
286,30,140
318,30,355
166,31,143
332,31,276
118,31,559
19,32,112
133,32,76
134,32,66
344,32,199
362,32,532
384,33,493
415,33,133
291,33,185
303,33,148
436,34,64
324,34,461
445,34,155
457,34,267
157,35,167
478,35,318
496,35,471
226,36,22
252,36,323
407,36,299
359,36,301
372,37,166
22,37,110
257,37,87
123,37,141
515,37,492
540,38,522
396,38,99
412,38,375
371,39,199
395,39,64
410,39,53
438,39,522
428,39,150
448,40,200
440,40,268
566,40,156
434,40,171
442,40,162
456,41,94
466,41,306
480,41,486
279,41,100
343,42,59
349,42,81
204,42,194
232,42,414
281,42,251
302,43,168
458,43,61
491,43,355
500,43,257
510,43,112
517,44,138
224,44,276
526,44,277
210,44,292
541,45,68
251,45,435
119,45,107
254,45,31
227,45,54
460,45,194
492,45,99
237,46,35
208,46,63
216,46,213
495,46,669
513,47,363
530,47,218
12,47,417
86,48,127
117,48,518
111,48,313
62,49,76
125,49,113
15,49,92
124,49,148
150,49,558
24,50,31
218,50,60
25,50,174
320,50,144
209,50,576
136,51,43
363,51,82
325,51,169
229,51,186
250,51,99
256,51,119
122,51,284
220,52,75
503,52,241
217,52,234
514,52,105
551,52,325
152,53,29
573,53,137
240,53,520
422,53,296
476,54,27
531,54,27
552,54,271
574,54,178
583,54,484
165,55,94
23,55,88
596,55,39
617,55,177
608,55,159
633,55,204
651,55,45
584,55,179
673,56,115
615,56,234
636,56,28
654,56,39
657,56,544
241,57,90
137,57,47
579,57,247
694,57,427
676,57,55
699,57,133
174,58,30
723,58,326
479,58,320
497,58,319
455,59,202
698,59,523
195,59,253
213,60,105
219,60,81
716,60,538
739,60,229
768,61,42
788,61,496
801,61,115
821,61,118
830,61,133
844,62,181
242,62,481
106,62,336
745,63,70
408,63,102
248,63,59
258,63,183
126,63,297
761,63,285
259,64,192
772,64,126
793,64,124
228,64,79
246,64,441
260,65,190
287,65,430
100,65,330
505,66,159
518,66,44
243,66,38
221,66,238
542,66,45
564,66,108
810,66,158
833,66,102
771,67,371
840,67,476
859,67,80
868,68,195
883,68,213
604,68,565
906,69,249
637,69,476
917,69,177
850,70,153
741,70,33
763,70,223
874,70,540
893,71,100
780,71,175
792,71,34
414,71,108
423,71,228
453,71,212
468,71,119
820,72,25
493,72,308
508,72,542
519,72,123
127,73,98
441,73,233
827,73,152
899,73,213
935,73,181
953,73,99
58,74,113
450,74,346
811,74,507
842,75,174
474,75,191
494,75,264
773,75,348
625,76,23
644,76,92
665,76,279
802,76,448
815,76,132
831,77,223
864,77,96
871,77,560
282,77,104
161,78,45
311,78,87
170,78,91
331,78,132
622,78,518
45,78,117
65,79,79
653,79,306
667,79,163
691,79,444
855,80,75
876,80,154
709,80,267
734,80,503
621,81,98
643,81,207
16,81,450
955,81,245
181,82,165
620,82,512
180,82,139
649,82,144
660,83,348
689,83,514
56,83,64
70,84,157
8,84,263
818,84,79
713,84,217
838,84,148
847,84,136
870,85,113
554,85,235
595,85,52
605,85,115
628,85,246
648,85,199
675,86,261
695,86,489
269,86,214
294,87,133
832,87,574
843,87,283
726,88,183
878,88,165
13,88,161
34,88,104
897,88,108
902,88,244
43,89,42
929,89,394
459,89,495
482,90,74
509,90,220
586,90,564
84,90,140
67,91,117
110,91,296
64,91,574
83,92,503
877,92,486
861,93,53
880,93,242
392,93,124
418,93,199
887,93,74
908,93,273
926,94,117
433,94,216
444,94,184
475,94,274
486,94,198
504,95,291
835,95,281
852,95,50
872,95,134
896,95,64
910,95,173
881,96,602
724,96,176
922,96,216
937,97,54
744,97,48
2,97,99
626,97,107
618,97,208
898,97,221
911,97,206
725,97,26
753,98,54
936,98,179
156,98,529
167,98,221
718,99,281
759,99,68
769,99,215
784,99,187
798,99,150
819,99,71
834,100,258
529,100,458
544,100,241
553,101,205
853,101,200
655,101,564
664,102,136
687,102,75
708,102,247
873,102,533
894,103,66
854,103,42
869,103,23
886,103,161
909,103,297
921,103,75
940,103,26
968,103,278
732,104,155
980,104,362
954,104,153
978,104,316
727,105,130
244,105,238
270,105,68
296,105,195
304,105,226
328,105,122
352,106,175
365,106,466
413,106,68
429,106,286
507,107,332
942,107,78
957,107,564
641,108,152
795,108,180
430,108,300
449,108,365
738,109,155
693,109,517
437,109,311
930,110,185
939,110,584
969,110,100
983,110,114
991,111,101
535,111,188
560,111,408
18,111,301
175,112,60
791,112,306
778,112,310
563,112,319
662,113,126
333,113,148
264,113,214
297,113,169
313,113,327
981,114,483
27,114,498
46,115,36
141,115,190
481,115,289
512,115,294
523,115,184
767,116,78
550,116,230
557,116,120
588,116,303
602,116,264
634,117,56
775,117,188
996,117,411
548,117,328
301,118,453
351,118,513
388,118,34
409,119,139
329,119,383
346,119,445
115,120,99
967,120,513
715,120,64
730,120,320
757,121,160
485,121,212
973,121,149
999,121,456
538,122,153
885,122,590
905,122,254
933,123,180
592,123,99
612,123,361
247,123,341
11,124,50
7,124,100
920,124,468
471,124,52
489,124,151
501,124,179
524,125,167
949,125,126
964,125,248
979,125,258
722,125,197
735,126,76
749,126,155
890,126,561
391,126,192
416,127,205
274,127,219
289,127,41
305,127,526
29,128,266
750,128,276
345,128,182
977,128,260
987,129,44
786,129,74
366,129,330
826,129,530
914,130,103
836,130,317
706,130,556
361,131,51
374,131,504
931,131,414
90,132,100
946,132,313
915,132,565
155,133,170
340,133,256
947,133,571
280,134,92
630,134,207
68,134,390
888,134,294
273,135,140
487,135,328
841,135,524
924,136,177
575,136,312
997,136,477
796,137,128
860,137,145
717,137,183
576,137,532
952,138,34
386,138,474
54,138,321
347,138,152
378,139,40
439,139,229
271,139,287
300,139,345
314,139,97
383,140,485
762,140,512
338,141,78
785,141,130
151,141,86
639,141,199
498,141,180
656,141,321
958,142,289
678,142,84
701,142,324
310,142,288
315,143,283
335,143,280
132,143,202
941,143,233
971,144,89
144,144,389
370,144,519
385,145,70
143,145,596
589,145,330
367,146,41
600,146,438
147,146,508
956,147,179
986,147,244
720,147,576
862,148,132
309,148,319
752,148,529
851,149,56
912,149,156
891,149,160
907,149,498
549,149,111
565,150,76
925,150,334
776,150,572
