Task,Station,Task_Time
2,1,607
19,2,532
10,2,447
3,3,349
12,3,510
16,4,566
6,5,501
17,5,429
5,6,502
9,6,474
15,7,472
7,7,283
8,7,177
13,8,568
11,8,356
1,9,550
20,9,441
4,10,293
18,10,605
30,11,431
50,11,359
46,12,594
65,12,350
59,13,552
37,13,436
29,14,416
47,14,501
71,15,525
27,15,314
44,16,613
76,17,508
68,18,540
60,18,408
32,19,542
39,19,449
48,20,509
53,20,297
72,21,428
28,22,662
42,23,457
43,23,269
52,24,662
70,25,446
38,25,515
33,26,404
45,26,527
54,27,384
75,27,408
56,28,521
74,29,506
62,30,582
57,31,765
58,32,384
66,32,575
26,33,460
49,33,530
55,34,571
73,35,489
67,36,764
64,37,499
61,37,458
77,38,620
31,39,640
40,39,253
23,40,543
24,41,574
25,42,431
51,42,529
63,43,568
22,44,507
35,44,377
21,45,690
34,46,417
94,46,341
105,47,512
131,48,547
151,48,439
146,49,603
126,50,639
83,51,424
92,51,530
110,52,652
125,53,466
141,54,594
130,55,495
103,55,504
122,56,552
120,57,544
148,58,483
134,59,584
118,60,555
147,60,433
102,61,550
176,62,542
93,62,425
91,63,151
108,63,375
129,63,341
140,64,290
80,64,311
84,65,521
172,65,341
95,66,332
111,66,640
119,67,623
128,68,685
142,69,744
149,70,450
145,70,289
133,71,365
144,71,502
101,72,423
98,72,461
160,73,434
158,73,305
161,74,449
195,74,501
163,75,450
175,75,455
190,76,582
177,76,412
185,77,587
162,78,482
209,78,351
237,79,601
207,79,318
198,80,511
204,80,195
218,81,513
228,81,263
252,82,452
79,82,494
88,83,607
107,84,477
97,84,379
99,85,402
90,85,544
104,86,365
86,86,473
117,87,476
138,87,500
139,88,652
135,89,428
137,89,519
136,90,520
165,90,291
78,91,756
87,92,676
82,93,531
96,93,468
109,94,342
123,94,536
150,95,615
143,96,561
112,96,280
114,97,474
132,97,493
113,98,535
116,98,436
121,99,410
81,99,521
89,100,552
100,100,422
106,101,395
115,101,433
124,102,472
193,102,527
210,103,546
216,104,520
212,105,596
170,106,433
173,106,503
174,107,526
184,108,522
202,108,403
223,109,413
154,109,490
155,110,765
153,111,406
156,111,478
152,112,552
166,112,277
169,113,532
167,113,434
189,114,455
159,115,624
194,116,591
168,117,589
178,118,572
188,118,405
192,119,436
127,119,306
164,120,437
191,121,586
187,122,467
208,123,540
219,123,427
230,124,435
206,124,530
217,125,385
224,125,530
231,126,243
232,126,393
244,127,479
201,128,564
221,129,462
227,129,363
247,130,465
250,130,359
213,131,355
226,131,533
251,132,244
215,132,428
236,133,421
267,133,484
268,134,597
285,135,475
279,135,473
292,136,667
308,137,563
306,138,654
269,139,413
315,139,284
317,140,519
341,141,512
337,142,496
