instance,Smallest_m,SI_mean,Eff_mean,mu_m,sigma_m,mu_runtime,sigma_runtime,best_run
instance_n=1000_38,692,329.44776676088065,0.7212998045216216,698.3,2.5317977802344327,0.5108223915100097,0.005506104122814084,9
instance_n=1000_11,145,100.64514271481673,0.9211272791686349,145.1,0.30000000000000004,0.5068873882293701,0.004700474543840908,5
instance_n=1000_13,141,96.25688486848739,0.9250747377884327,141.4,0.4898979485566356,0.5126680612564087,0.005172217127362862,9
instance_n=1000_12,144,99.38812264009783,0.9245486111111111,144,0.0,0.5110563278198242,0.005569886286644458,5
instance_n=1000_28,683,326.37101463898773,0.7246445836982331,685,1.5491933384829668,0.5130092382431031,0.0053613160352255105,8
instance_n=1000_72,258,192.41186501248916,0.8535835108197899,259.2,0.7483314773547882,0.5114680528640747,0.005695013118721346,6
instance_n=1000_70,266,198.24093244876843,0.8476945280903687,268.2,1.0770329614269007,0.5076017141342163,0.005310432603417608,8
instance_n=1000_65,260,189.2950789171112,0.8541245857817721,262.3,1.5524174696260025,0.5091394186019897,0.004443640046098974,1
instance_n=1000_74,264,191.95011092121172,0.8523945795654457,265.7,1.004987562112089,0.5106707811355591,0.005685560286712391,10
instance_n=1000_60,269,200.6530316783731,0.8478511330975399,270.6,1.2,0.511489987373352,0.004995600807550799,10
instance_n=1000_62,260,198.82775208940876,0.8490393625102309,262.2,0.9797958971132713,0.5100947141647338,0.006659057039613553,1
