run,m,SI,Eff,runtime_sec,best_seq_prefix,pop_size,generations,pc,pm,tour_k,elite,seed,max_time_sec
1,145,100.13322160484759,0.9217586206896552,0.5035250186920166,3 4 10 8 15 17 7 6 19 14,100,200,0.8,0.05,3,2,1001,0.5
2,145,101.47525602927492,0.9217586206896552,0.5074939727783203,21 9 1 14 20 19 17 32 23 15,100,200,0.8,0.05,3,2,1002,0.5
3,145,102.49551714335003,0.9217586206896552,0.5059430599212646,19 17 15 14 33 22 18 8 44 10,100,200,0.8,0.05,3,2,1003,0.5
4,145,100.21064022244894,0.9217586206896552,0.5080220699310303,4 21 17 12 23 22 11 30 2 29,100,200,0.8,0.05,3,2,1004,0.5
5,145,97.70740980618861,0.9217586206896552,0.5040619373321533,20 17 18 10 11 14 3 28 30 16,100,200,0.8,0.05,3,2,1005,0.5
6,146,102.18687554792237,0.9154452054794521,0.5009188652038574,5 16 15 11 27 20 42 21 7 1,100,200,0.8,0.05,3,2,1006,0.5
7,145,100.51879220427838,0.9217586206896552,0.5009520053863525,5 18 10 15 12 44 20 1 14 19,100,200,0.8,0.05,3,2,1007,0.5
8,145,98.70230406422237,0.9217586206896552,0.5083167552947998,2 20 17 9 8 15 19 44 50 4,100,200,0.8,0.05,3,2,1008,0.5
9,145,102.72732571363795,0.9217586206896552,0.514397144317627,7 19 9 23 13 12 14 22 5 49,100,200,0.8,0.05,3,2,1009,0.5
10,145,100.29408481199607,0.9217586206896552,0.5152430534362793,7 14 18 21 3 20 32 31 11 34,100,200,0.8,0.05,3,2,1010,0.5
