task,station
1,5
2,1
3,14
4,1
5,10
6,1
7,3
8,16
9,22
10,11
11,1
12,2
13,2
14,6
15,1
16,4
17,2
18,1
19,5
20,17
21,7
22,14
23,4
24,3
25,12
26,22
27,14
28,23
29,7
30,9
31,2
32,15
33,9
34,20
35,6
36,18
37,15
38,5
39,5
40,16
41,18
42,3
43,8
44,35
45,15
46,6
47,25
48,24
49,26
50,33
51,28
52,24
53,23
54,5
55,24
56,21
57,24
58,15
59,26
60,6
61,13
62,37
63,5
64,13
65,18
66,62
67,25
68,14
69,16
70,22
71,31
72,29
73,16
74,7
75,19
76,34
77,27
78,8
79,33
80,34
81,28
82,26
83,29
84,7
85,12
86,32
87,49
88,26
89,31
90,30
91,23
92,26
93,21
94,11
95,20
96,29
97,37
98,29
99,32
100,35
101,33
102,12
103,14
104,30
105,30
106,36
107,27
108,21
109,15
110,34
111,19
112,29
113,38
114,13
115,34
116,20
117,36
118,23
119,25
120,38
121,44
122,17
123,36
124,31
125,34
126,13
127,12
128,39
129,55
130,39
131,42
132,45
133,40
134,59
135,55
136,37
137,37
138,44
139,43
140,44
141,18
142,40
143,39
144,26
145,41
146,18
147,43
148,45
149,46
150,38
151,35
152,19
153,47
154,46
155,50
156,38
157,40
158,41
159,66
160,59
161,46
162,40
163,56
164,65
165,44
166,28
167,47
168,42
169,52
170,45
171,42
172,48
173,43
174,43
175,44
176,62
177,51
178,48
179,58
180,43
181,44
182,42
183,52
184,60
185,50
186,48
187,59
188,44
189,45
190,61
191,49
192,54
193,52
194,46
195,48
196,68
197,44
198,49
199,46
200,50
201,49
202,53
203,48
204,54
205,53
206,60
207,50
208,68
209,76
210,54
211,63
212,57
213,79
214,50
215,54
216,79
217,79
218,73
219,55
220,60
221,61
222,63
223,60
224,52
225,58
226,68
227,66
228,61
229,50
230,71
231,54
232,58
233,74
234,74
235,80
236,67
237,61
238,63
239,66
240,59
241,81
242,64
243,69
244,58
245,57
246,62
247,55
248,83
249,83
250,77
251,83
252,67
253,68
254,53
255,51
256,67
257,77
258,68
259,69
260,70
261,63
262,85
263,63
264,57
265,61
266,68
267,69
268,69
269,71
270,68
271,63
272,70
273,57
274,69
275,68
276,70
277,86
278,67
279,82
280,78
281,76
282,69
283,69
284,64
285,83
286,64
287,80
288,72
289,90
290,73
291,78
292,74
293,86
294,77
295,71
296,73
297,74
298,75
299,74
300,78
301,72
302,73
303,72
304,90
305,70
306,80
307,83
308,76
309,86
310,77
311,79
312,85
313,75
314,88
315,87
316,74
317,102
318,78
319,87
320,81
321,80
322,94
323,95
324,91
325,106
326,82
327,80
328,92
329,96
330,89
331,108
332,88
333,91
334,94
335,78
336,87
337,87
338,87
339,93
340,95
341,84
342,83
343,83
344,107
345,81
346,83
347,82
348,82
349,83
350,94
351,104
352,91
353,109
354,93
355,96
356,91
357,90
358,96
359,97
360,98
361,84
362,119
363,97
364,91
365,103
366,95
367,110
368,84
369,95
370,92
371,101
372,97
373,106
374,102
375,94
376,85
377,92
378,107
379,99
380,108
381,112
382,101
383,106
384,103
385,99
386,96
387,121
388,92
389,98
390,111
391,116
392,111
393,88
394,98
395,113
396,121
397,123
398,89
399,113
400,115
401,106
402,105
403,116
404,101
405,111
406,113
407,103
408,94
409,116
410,94
411,121
412,108
413,93
414,114
415,115
416,96
417,93
418,114
419,123
420,113
421,118
422,120
423,112
424,121
425,112
426,94
427,116
428,104
429,89
430,131
431,116
432,130
433,97
434,122
435,101
436,108
437,113
438,122
439,116
440,121
441,117
442,121
443,115
444,116
445,114
446,100
447,113
448,97
449,119
450,118
451,122
452,114
453,120
454,100
455,122
456,124
457,118
458,113
459,123
460,117
461,101
462,118
463,135
464,122
465,132
466,114
467,98
468,102
469,121
470,119
471,110
