station,load,cycle_time
1,976,1000
2,798,1000
3,650,1000
4,944,1000
5,878,1000
6,903,1000
7,853,1000
8,945,1000
9,897,1000
10,810,1000
11,963,1000
12,919,1000
13,994,1000
14,780,1000
15,798,1000
16,814,1000
17,938,1000
18,825,1000
19,564,1000
20,754,1000
21,919,1000
22,858,1000
23,804,1000
24,997,1000
25,897,1000
26,961,1000
27,889,1000
28,903,1000
29,945,1000
30,967,1000
31,933,1000
32,573,1000
33,789,1000
34,911,1000
35,972,1000
36,821,1000
37,826,1000
38,873,1000
39,944,1000
40,741,1000
41,576,1000
42,576,1000
43,767,1000
44,782,1000
45,876,1000
46,696,1000
47,576,1000
48,975,1000
49,944,1000
50,978,1000
51,883,1000
52,923,1000
53,644,1000
54,814,1000
55,562,1000
56,905,1000
57,968,1000
58,915,1000
59,855,1000
60,972,1000
61,961,1000
62,891,1000
63,942,1000
64,978,1000
65,674,1000
66,823,1000
67,819,1000
68,939,1000
69,780,1000
70,911,1000
71,755,1000
72,867,1000
73,931,1000
74,699,1000
75,943,1000
76,972,1000
77,920,1000
78,934,1000
79,613,1000
80,849,1000
81,752,1000
82,800,1000
83,750,1000
84,937,1000
85,906,1000
86,978,1000
87,833,1000
88,950,1000
89,878,1000
90,789,1000
91,942,1000
92,816,1000
93,745,1000
94,899,1000
95,847,1000
96,813,1000
97,885,1000
98,952,1000
99,589,1000
100,694,1000
101,844,1000
102,606,1000
103,598,1000
104,892,1000
105,832,1000
106,755,1000
107,998,1000
108,968,1000
109,943,1000
110,986,1000
111,690,1000
112,880,1000
113,931,1000
114,928,1000
115,995,1000
116,903,1000
117,938,1000
118,955,1000
119,727,1000
120,906,1000
121,991,1000
122,980,1000
123,783,1000
124,813,1000
125,534,1000
126,995,1000
127,744,1000
128,874,1000
129,982,1000
130,555,1000
131,954,1000
132,768,1000
133,1000,1000
134,967,1000
135,899,1000
136,655,1000
137,872,1000
138,950,1000
139,968,1000
140,894,1000
141,988,1000
142,910,1000
143,933,1000
144,611,1000
145,968,1000
146,965,1000
147,909,1000
148,894,1000
149,869,1000
150,831,1000
151,994,1000
152,803,1000
153,774,1000
154,744,1000
155,787,1000
156,945,1000
157,975,1000
158,810,1000
159,887,1000
160,898,1000
161,974,1000
162,969,1000
163,895,1000
164,997,1000
165,910,1000
166,825,1000
167,981,1000
168,750,1000
169,990,1000
170,978,1000
171,862,1000
172,687,1000
173,771,1000
174,934,1000
175,980,1000
176,860,1000
177,798,1000
178,929,1000
179,677,1000
180,814,1000
181,621,1000
182,776,1000
183,652,1000
184,916,1000
185,934,1000
186,948,1000
187,917,1000
188,854,1000
189,941,1000
190,905,1000
191,535,1000
192,892,1000
193,620,1000
194,936,1000
195,829,1000
196,689,1000
197,753,1000
198,769,1000
199,885,1000
200,965,1000
201,918,1000
202,514,1000
203,727,1000
204,982,1000
205,880,1000
206,943,1000
207,933,1000
208,981,1000
209,957,1000
210,853,1000
211,969,1000
212,671,1000
213,927,1000
214,965,1000
215,933,1000
216,858,1000
217,696,1000
218,991,1000
219,897,1000
220,983,1000
221,692,1000
222,796,1000
223,894,1000
224,847,1000
225,949,1000
226,968,1000
227,985,1000
228,777,1000
229,831,1000
230,813,1000
231,994,1000
232,678,1000
233,956,1000
234,893,1000
235,884,1000
236,745,1000
237,886,1000
238,730,1000
239,766,1000
240,934,1000
241,886,1000
242,934,1000
243,744,1000
244,651,1000
245,991,1000
246,939,1000
247,936,1000
248,758,1000
249,832,1000
250,891,1000
251,847,1000
252,919,1000
253,931,1000
254,601,1000
255,652,1000
256,994,1000
257,842,1000
258,669,1000
259,875,1000
260,709,1000
261,925,1000
262,860,1000
263,936,1000
264,935,1000
265,661,1000
