run,m,SI,Eff,runtime_sec,best_seq_prefix,pop_size,generations,pc,pm,tour_k,elite,seed
1,153,104.25722338260779,0.9206535947712419,0.6840949058532715,15 11 5 9 2 19 17 21 37 20,100,200,0.8,0.05,3,2,1001
2,153,98.95565785856927,0.9206535947712419,0.751446008682251,6 5 3 11 8 19 15 22 29 13,100,200,0.8,0.05,3,2,1002
3,153,98.89579912699689,0.9206535947712419,0.6742899417877197,12 20 21 16 18 10 6 39 13 40,100,200,0.8,0.05,3,2,1003
4,152,95.66697994936173,0.9267105263157894,0.7450606822967529,19 7 20 2 10 8 27 18 22 30,100,200,0.8,0.05,3,2,1004
5,153,95.59678393146505,0.9206535947712419,0.7496142387390137,22 48 67 85 99 134 150 157 18 33,100,200,0.8,0.05,3,2,1005
6,153,100.00803889256731,0.9206535947712419,0.7581748962402344,6 18 21 23 4 47 30 13 45 14,100,200,0.8,0.05,3,2,1006
7,153,99.55160910712088,0.9206535947712419,0.7477200031280518,22 42 75 12 13 14 15 16 28 59,100,200,0.8,0.05,3,2,1007
8,152,98.52183834855573,0.9267105263157894,0.7743151187896729,17 36 73 19 41 72 18 38 74 68,100,200,0.8,0.05,3,2,1008
9,153,103.729915766073,0.9206535947712419,0.7699110507965088,16 11 17 7 18 14 30 46 20 12,100,200,0.8,0.05,3,2,1009
10,152,98.06724331052808,0.9267105263157894,0.6613330841064453,22 18 7 6 1 9 11 13 20 2,100,200,0.8,0.05,3,2,1010
