instance,Smallest_m,SI_mean,Eff_mean,mu_m,sigma_m,mu_runtime,sigma_runtime,best_run
instance_n=100_19,24,69.6169201658635,0.9284795,24.1,0.3,2.1589277744293214,0.028948977485812637,4
instance_n=100_32,14,33.11008779329141,0.9589285714285715,14,0.0,1.9430556058883668,0.02327463313110283,2
instance_n=100_26,15,37.0066764356865,0.9274666666666667,15,0.0,2.0853208780288695,0.03336213451192181,9
instance_n=100_33,15,38.017830965851964,0.9456,15,0.0,2.035928726196289,0.025051780439010688,1
instance_n=100_177,15,50.39108591712367,0.9119333333333334,15,0.0,2.0847023725509644,0.028703163879762728,2
instance_n=100_163,27,116.50760926034606,0.8915555555555555,27,0.0,2.318509745597839,0.046336600558915114,9
instance_n=100_2,22,80.6588390359255,0.921,22,0.0,2.082541990280151,0.04187997493707956,1
instance_n=100_37,14,37.19127637607247,0.9507142857142857,14,0.0,2.0286358833312987,0.033246615457011346,8
instance_n=100_1,25,88.30101710729724,0.90892,25,0.0,2.239813470840454,0.03804227349221169,8
instance_n=100_20,22,75.99543277354493,0.9136363636363637,22,0.0,2.204925608634949,0.03619939047872066,7
instance_n=100_34,15,42.44451379077913,0.9537933333333333,15.2,0.4,2.1325183868408204,0.020541561790303094,6
instance_n=100_46,14,34.23515092530885,0.9699285714285715,14,0.0,2.0908656120300293,0.020905082578805318,2
instance_n=100_47,15,43.20818167413249,0.9172666666666667,15,0.0,2.095911240577698,0.026773482858640053,10
instance_n=100_40,15,43.68977436692183,0.9198666666666667,15,0.0,2.0787137031555174,0.027853981447210532,6
instance_n=100_43,15,39.64689673171733,0.9285333333333333,15,0.0,1.89906005859375,0.05141997284950708,5
instance_n=100_57,64,278.8583722225467,0.7658625801282051,65.3,0.6403124237432849,2.5235831499099732,0.09878136010847938,7
instance_n=100_67,62,260.82726438647444,0.7891512980769231,64.2,0.8717797887081347,2.4664875507354735,0.020054510676659427,1
instance_n=100_72,63,269.6621753142762,0.774566875,63.8,0.6,2.438050127029419,0.03279246121470212,6
instance_n=100_48,15,38.542929541916806,0.9535333333333333,15,0.0,2.1756078481674193,0.02393743060246503,8
instance_n=100_336,15,40.54557444673915,0.9268883333333333,15.9,0.3,1.9858612537384033,0.03751276397347155,8
instance_n=100_193,16,49.59147297319847,0.9153125,16,0.0,2.177449893951416,0.039687652210654865,2
instance_n=100_38,15,45.04318443996851,0.9131333333333334,15,0.0,2.1086302757263184,0.04272576655958561,6
instance_n=100_39,14,33.40911612378183,0.962185238095238,14.1,0.3,1.9211918830871582,0.036597680967810235,7
instance_n=100_13,26,104.34170532383284,0.9018846153846154,26,0.0,2.194492983818054,0.017426123528068136,3
instance_n=100_17,23,85.39984716002368,0.9116521739130434,23,0.0,2.0740763902664185,0.015359551858054763,6
instance_n=100_8,25,98.20105008545282,0.905184,25.8,0.4,2.0786649703979494,0.01575165098148856,4
instance_n=100_15,25,101.91373510609372,0.9001369230769231,25.6,0.4898979485566356,2.14938223361969,0.010327910900566171,8
instance_n=100_28,15,43.22672220888707,0.9254,15,0.0,1.9864904642105103,0.03302707198943966,2
instance_n=100_9,25,92.78208217691477,0.91312,25,0.0,2.193683314323425,0.03647130661321624,5
instance_n=100_183,14,34.093529919015666,0.9618571428571429,14,0.0,2.267700433731079,0.023589808336533992,7
