run,m,SI,Eff,runtime_sec,best_seq_prefix,pop_size,generations,pc,pm,tour_k,elite,seed
1,14,36.654759971542966,0.9618571428571429,2.325611114501953,5 3 9 4 7 8 6 16 20 1,100,200,0.8,0.05,3,2,1001
2,14,33.73002054126688,0.9618571428571429,2.274488925933838,3 16 8 9 18 30 28 40 20 50,100,200,0.8,0.05,3,2,1002
3,14,30.437289160314055,0.9618571428571429,2.289661169052124,3 16 28 8 20 40 50 58 4 23,100,200,0.8,0.05,3,2,1003
4,14,32.586149555557235,0.9618571428571429,2.255136013031006,3 8 16 28 40 20 50 58 65 4,100,200,0.8,0.05,3,2,1004
5,14,31.98883733876107,0.9618571428571429,2.253913164138794,9 18 30 39 6 15 27 38 4 23,100,200,0.8,0.05,3,2,1005
6,14,32.24238559057671,0.9618571428571429,2.2540578842163086,5 14 9 18 3 16 4 23 7 17,100,200,0.8,0.05,3,2,1006
7,14,29.152309391489773,0.9618571428571429,2.2557950019836426,5 14 3 16 4 11 9 18 7 17,100,200,0.8,0.05,3,2,1007
8,14,44.96029994816062,0.9618571428571429,2.2759180068969727,5 14 26 37 9 18 30 39 6 15,100,200,0.8,0.05,3,2,1008
9,14,33.40017108596045,0.9618571428571429,2.243391990661621,8 3 16 28 40 2 13 32 9 18,100,200,0.8,0.05,3,2,1009
10,14,35.78307660652688,0.9618571428571429,2.2490310668945312,5 3 4 23 34 9 6 1 18 30,100,200,0.8,0.05,3,2,1010
