task,station
1,2
2,2
3,2
4,2
5,2
6,2
7,3
8,1
9,10
10,14
11,2
12,10
13,3
14,1
15,3
16,4
17,1
18,2
19,3
20,4
21,3
22,5
23,4
24,4
25,4
26,3
27,1
28,3
29,4
30,1
31,2
32,9
33,10
34,1
35,5
36,6
37,14
38,2
39,5
40,5
41,6
42,5
43,6
44,6
45,5
46,7
47,8
48,6
49,14
50,5
51,7
52,7
53,14
54,8
55,6
56,7
57,6
58,7
59,8
60,8
61,7
62,8
63,10
64,7
65,9
66,11
67,8
68,11
69,9
70,6
71,8
72,8
73,9
74,9
75,12
76,9
77,12
78,10
79,9
80,11
81,11
82,10
83,13
84,13
85,12
86,12
87,11
88,11
89,13
90,12
91,13
92,12
93,13
94,14
95,10
96,13
97,14
98,14
99,13
100,14
