station,load,cycle_time
1,943,1000
2,994,1000
3,764,1000
4,868,1000
5,966,1000
6,954,1000
7,818,1000
8,844,1000
9,817,1000
10,979,1000
11,602,1000
12,622,1000
13,948,1000
14,577,1000
15,929,1000
16,653,1000
17,784,1000
18,843,1000
19,768,1000
20,972,1000
21,960,1000
22,942,1000
23,987,1000
24,586,1000
25,954,1000
26,955,1000
27,631,1000
28,408,1000
29,643,1000
30,993,1000
31,652,1000
32,937,1000
33,672,1000
34,958,1000
35,788,1000
36,517,1000
37,650,1000
38,522,1000
39,567,1000
40,964,1000
41,772,1000
42,966,1000
43,953,1000
44,951,1000
45,475,1000
46,597,1000
47,601,1000
48,982,1000
49,627,1000
50,678,1000
51,598,1000
52,967,1000
53,678,1000
54,623,1000
55,838,1000
56,957,1000
57,425,1000
58,759,1000
59,997,1000
60,619,1000
61,918,1000
62,820,1000
63,641,1000
64,633,1000
