instance,Smallest_m,SI_mean,Eff_mean,mu_m,sigma_m,mu_runtime,sigma_runtime,best_run
instance_n=50_52,11,48.00931461270922,0.9454545454545454,11,0.0,0.7054170370101929,0.009571146663798772,4
instance_n=50_172,7,14.257418177517344,0.9455714285714286,7,0.0,0.7347175359725953,0.005586517974412248,5
instance_n=50_372,11,51.83881596384279,0.9047272727272727,11,0.0,0.7015023708343506,0.03569932357220261,9
instance_n=50_44,27,165.74477083368149,0.860397619047619,27.1,0.3,0.8357900619506836,0.015041281767680605,4
instance_n=50_160,8,19.86396209362376,0.938875,8,0.0,0.76973557472229,0.028789322074781597,7
instance_n=50_57,13,77.23834468128965,0.8895763736263737,13.9,0.3,0.7559628486633301,0.02633005821704423,8
instance_n=50_43,29,210.97621895854567,0.8244151724137931,29.1,0.3,0.854025149345398,0.013079157216189567,6
instance_n=50_19,8,20.694513550458534,0.95975,8,0.0,0.7077254772186279,0.021411092949201845,5
instance_n=50_31,28,168.1246593250542,0.8681043103448276,28.3,0.458257569495584,0.8389912128448487,0.006890392106299833,9
instance_n=50_3,8,25.328459128800482,0.936375,8,0.0,0.7026837110519409,0.02218897548598297,5
instance_n=50_306,7,17.84769113753556,0.9132857142857143,7,0.0,0.7052764654159546,0.004250327224016118,6
instance_n=50_24,7,21.245751763993532,0.9091428571428571,7,0.0,0.7160677909851074,0.020412301350038436,7
instance_n=50_4,7,16.651175152061004,0.9575714285714285,7,0.0,0.7112915754318238,0.007431017350761393,10
instance_n=50_22,7,13.238799855006537,0.9751428571428571,7,0.0,0.6997272968292236,0.024845216477207412,7
instance_n=50_20,8,23.731181938876336,0.94975,8,0.0,0.7054006814956665,0.009551263421746293,6
instance_n=50_10,7,16.174660244672175,0.9487142857142857,7,0.0,0.6936565160751342,0.028546809854059736,2
instance_n=50_318,8,20.271516678613914,0.916,8,0.0,0.7036239385604859,0.005219923360991232,3
instance_n=50_324,7,18.222728849794855,0.9124285714285715,7,0.0,0.7211248874664307,0.028928733323151216,1
instance_n=50_12,6,29.267419527550146,0.89385,6.7,0.45825756949558405,0.6968832969665527,0.011611206903037102,4
instance_n=50_16,8,25.564254896886982,0.9185,8,0.0,0.7216406106948853,0.025099174807562647,9
instance_n=50_322,7,18.736419876879697,0.9311428571428572,7,0.0,0.6607983589172364,0.00795212668219441,7
instance_n=50_14,7,14.929519206277357,0.9604285714285714,7,0.0,0.7143976211547851,0.021652383635434327,10
instance_n=50_152,7,14.310889996053675,0.942,7,0.0,0.7623083591461182,0.016040000531569204,1
instance_n=50_72,11,40.55259523078016,0.9330909090909091,11,0.0,0.7298574686050415,0.035811174893477064,8
instance_n=50_59,12,58.745327113324485,0.8945,12,0.0,0.7068903684616089,0.009786320659840945,6
instance_n=50_61,13,71.59890319674076,0.9249032967032967,13.2,0.4,0.740508246421814,0.030241656360471627,5
instance_n=50_74,12,58.60131144393085,0.9340833333333334,12,0.0,0.7297956466674804,0.008856829016362741,4
instance_n=50_368,12,61.01185034648126,0.9311666666666667,12,0.0,0.7319377422332763,0.023593941480539782,5
instance_n=50_369,13,59.483914155494126,0.902,13,0.0,0.7314661264419555,0.016917942391100508,9
instance_n=50_63,12,57.52401647551971,0.9345,12,0.0,0.7240952014923095,0.004955478743423314,2
