run,m,SI,Eff,runtime_sec,best_seq_prefix,pop_size,generations,pc,pm,tour_k,elite,seed
1,7,6.855654600401044,0.942,0.7753970623016357,3 7 14 19 24 33 40 45 8 4,100,200,0.8,0.05,3,2,1001
2,7,22.790975657671424,0.942,0.7484629154205322,3 8 4 10 1 5 2 9 7 6,100,200,0.8,0.05,3,2,1002
3,7,17.16308330607961,0.942,0.7402122020721436,3 7 14 8 4 10 15 11 1 5,100,200,0.8,0.05,3,2,1003
4,7,10.750415274370965,0.942,0.7571618556976318,3 7 14 4 8 10 15 11 1 5,100,200,0.8,0.05,3,2,1004
5,7,14.535670410604194,0.942,0.7695281505584717,3 4 8 10 15 7 14 11 1 5,100,200,0.8,0.05,3,2,1005
6,7,11.426785574754984,0.942,0.760627031326294,3 7 14 19 24 33 40 45 2 8,100,200,0.8,0.05,3,2,1006
7,7,17.26267650163207,0.942,0.7366998195648193,3 7 8 4 10 1 5 2 9 6,100,200,0.8,0.05,3,2,1007
8,7,15.725320800724997,0.942,0.7678179740905762,2 9 3 4 10 7 14 19 24 33,100,200,0.8,0.05,3,2,1008
9,7,9.015859043136949,0.942,0.7786738872528076,3 7 14 4 8 10 15 11 1 2,100,200,0.8,0.05,3,2,1009
10,7,17.5824587911605,0.942,0.7885026931762695,1 3 7 14 4 2 19 24 33 40,100,200,0.8,0.05,3,2,1010
