instance,Smallest_m,SI_mean,Eff_mean,mu_m,sigma_m,mu_runtime,sigma_runtime,best_run
instance_n=20_261,12,190.06152752174236,0.8441666666666666,12,0.0,0.36719508171081544,0.007231698471641093,6
instance_n=20_262,11,150.47585396852793,0.8687272727272727,11,0.0,0.341928768157959,0.005536812849318408,5
instance_n=20_114,13,248.27318276131479,0.7848461538461539,13,0.0,0.3469482660293579,0.006476449337167853,2
instance_n=20_505,6,55.992559029451996,0.8818333333333334,6,0.0,0.323102331161499,0.005204266696198865,1
instance_n=20_288,6,42.94405489480297,0.8376666666666667,6,0.0,0.305543327331543,0.004462269577382997,7
instance_n=20_514,5,170.66341142728865,0.7892,5,0.0,0.309027099609375,0.0037936843569964258,1
instance_n=20_270,7,51.417153456317266,0.8252857142857143,7,0.0,0.30771071910858155,0.0036702948722671758,3
instance_n=20_271,6,31.908519013152105,0.825,6,0.0,0.30258736610412595,0.004834004123231528,6
instance_n=20_376,3,8.142614031855327,0.9376666666666666,3,0.0,0.2845308303833008,0.0023395930781533454,10
instance_n=20_404,10,61.053246701848444,0.8547,10,0.0,0.3171963691711426,0.006651451726104958,2
instance_n=20_370,3,4.654746681256314,0.9943333333333333,3,0.0,0.2756065845489502,0.0025251347525711903,1
instance_n=20_239,3,7.234178138070235,0.9283333333333333,3,0.0,0.2861032009124756,0.0037038976530389687,1
instance_n=20_373,3,61.57758107382041,0.8688750000000001,3.5,0.5,0.2741685152053833,0.0029020424670275252,2
instance_n=20_380,3,6.017235387662248,0.93,3,0.0,0.2802701711654663,0.0026594292012790213,2
instance_n=20_140,5,30.699120447638933,0.9526,5,0.0,0.2860954523086548,0.004574966800739163,5
instance_n=20_423,6,48.66799894855896,0.8563333333333333,6,0.0,0.29822864532470705,0.006131728792387282,1
instance_n=20_422,4,12.627201617657443,0.9165,4,0.0,0.27433252334594727,0.002799100795858233,1
instance_n=20_434,5,25.677249748964556,0.9416,5,0.0,0.27507266998291013,0.007326961223060811,2
instance_n=20_390,3,7.1014083110323964,0.987,3,0.0,0.28758225440979,0.00490199386630112,1
instance_n=20_254,12,202.04271924520268,0.8430480769230769,12.1,0.3,0.35013561248779296,0.009943199216941036,2
instance_n=20_137,5,27.401456669557138,0.9354,5,0.0,0.300349497795105,0.008095955602530167,1
instance_n=20_135,6,55.70680890282576,0.8401666666666666,6,0.0,0.3070723056793213,0.019415861444942163,6
instance_n=20_445,3,27.598309126949545,0.9223333333333333,3,0.0,0.295462441444397,0.0030172104856271255,1
instance_n=20_487,12,181.66773699990503,0.7998333333333333,12,0.0,0.36029748916625975,0.00669358929610033,1
instance_n=20_252,11,200.40760883303716,0.8212318181818182,11.6,0.48989794855663565,0.3763433456420898,0.017962188915937108,10
instance_n=20_440,5,38.3868555786748,0.8046,5,0.0,0.28199400901794436,0.00361102238716362,4
instance_n=20_125,5,25.877315516021827,0.8462,5,0.0,0.2829081296920776,0.005360960897617154,5
instance_n=20_509,4,26.23451924468981,0.95875,4,0.0,0.3127854585647583,0.0028300056803077013,1
instance_n=20_247,11,192.0764538674198,0.8622727272727273,11,0.0,0.32001452445983886,0.005842540952511061,1
instance_n=20_245,13,217.46018541261844,0.7983846153846154,13,0.0,0.3656587600708008,0.007169766250268838,4
