run,m,SI,Eff,runtime_sec,best_seq_prefix,pop_size,generations,pc,pm,tour_k,elite,seed
1,5,56.47831442244006,0.8046,0.28472185134887695,2 1 5 9 3 7 8 4 10 16,100,200,0.8,0.05,3,2,1001
2,5,39.104986894256854,0.8046,0.2833390235900879,2 1 5 9 3 7 6 12 4 8,100,200,0.8,0.05,3,2,1002
3,5,28.951683888851786,0.8046,0.2897930145263672,1 2 5 9 4 3 7 8 10 11,100,200,0.8,0.05,3,2,1003
4,5,28.411265371327623,0.8046,0.28357601165771484,2 5 9 1 4 3 7 8 6 10,100,200,0.8,0.05,3,2,1004
5,5,43.1300359378473,0.8046,0.2778482437133789,2 5 9 1 4 3 7 8 6 10,100,200,0.8,0.05,3,2,1005
6,5,40.08989897717379,0.8046,0.2790992259979248,2 1 5 9 3 7 6 12 4 8,100,200,0.8,0.05,3,2,1006
7,5,50.28319798899032,0.8046,0.2799689769744873,2 5 9 1 3 7 8 4 10 16,100,200,0.8,0.05,3,2,1007
8,5,29.158189244190044,0.8046,0.283297061920166,1 2 6 5 8 3 7 4 9 11,100,200,0.8,0.05,3,2,1008
9,5,39.84971769034255,0.8046,0.28141283988952637,2 5 9 1 3 7 8 4 10 6,100,200,0.8,0.05,3,2,1009
10,5,28.411265371327623,0.8046,0.2768838405609131,2 5 9 1 4 3 7 8 6 10,100,200,0.8,0.05,3,2,1010
