Station_ID,Tasks,Load,Capacity
1,"[15, 25, 1, 2, 10]",897,1000
2,"[5, 3, 22, 21, 16]",887,1000
3,"[12, 34, 13, 24, 4, 9]",914,1000
4,"[18, 11, 7, 17, 37, 31]",964,1000
5,"[14, 33, 28, 27, 20, 49, 19, 53]",968,1000
6,"[8, 32, 35, 29, 41]",887,1000
7,"[60, 47, 48, 51, 23, 69]",978,1000
8,"[68, 43, 67, 45, 71, 54, 73, 52]",997,1000
9,"[62, 26, 6, 74, 44, 58, 83, 39]",954,1000
10,"[65, 78, 79, 94, 36, 50, 82]",971,1000
11,"[88, 59, 57, 30, 55, 63, 61]",994,1000
12,"[85, 92, 42, 91, 72, 38, 87, 76]",918,1000
13,"[66, 77, 64, 70, 75, 84, 46, 86]",967,1000
14,"[90, 108, 93, 40, 80]",882,1000
15,"[98, 81, 103, 102, 89, 127, 100]",995,1000
16,"[137, 105, 133, 96, 109, 113, 95]",969,1000
17,"[129, 104, 101, 111, 134, 112, 107, 130]",915,1000
18,"[106, 128, 131, 136, 97, 144]",987,1000
19,"[147, 149, 138, 148, 171, 56, 169]",879,1000
20,"[159, 156, 110, 99, 117, 115]",874,1000
21,"[146, 164, 172, 114, 126]",977,1000
22,"[142, 140, 135, 139, 155, 163, 161, 120]",981,1000
23,"[153, 118, 141, 186, 173, 125]",951,1000
24,"[168, 119, 124, 157, 132, 176, 185]",988,1000
25,"[122, 158, 116, 210, 204, 187]",841,1000
26,"[170, 194, 166, 154, 177, 165, 178]",954,1000
27,"[202, 216, 214, 180, 182, 249, 199, 184, 174, 188, 123]",945,1000
28,"[192, 151, 227, 208, 190, 207, 121, 197]",931,1000
29,"[211, 191, 183, 205, 225, 251]",983,1000
30,"[201, 193, 152, 260, 196, 143]",854,1000
31,"[224, 219, 195, 150, 218, 226, 217]",945,1000
32,"[160, 198, 200, 238, 228, 179, 209]",899,1000
33,"[240, 222, 266, 254, 221, 248, 175]",810,1000
34,"[239, 220, 283, 282, 231, 252, 265, 293]",994,1000
35,"[279, 229, 212, 189, 232, 277, 234, 250]",862,1000
36,"[237, 167, 203, 259, 145, 268]",937,1000
37,"[278, 269, 206, 257, 162, 223, 270, 235]",981,1000
38,"[274, 215, 233, 245, 297, 291, 181]",928,1000
39,"[290, 242, 253, 284, 236, 213, 247]",990,1000
40,"[267, 230, 275, 315, 263, 256, 261, 243]",980,1000
41,"[241, 289, 258, 302, 255, 296, 264]",974,1000
42,"[244, 280, 306, 273, 313]",953,1000
43,"[311, 285, 307, 286, 295, 276]",969,1000
44,"[325, 287, 292, 271, 303, 345, 371, 394]",969,1000
45,"[281, 321, 361, 300, 382, 294, 319, 323, 320, 421, 299]",996,1000
46,"[393, 310, 262, 427, 419, 381]",861,1000
47,"[304, 422, 309, 333, 339, 326, 322]",963,1000
48,"[426, 342, 338, 308, 431, 440, 246, 376]",892,1000
49,"[305, 314, 332, 327, 350, 349]",907,1000
50,"[337, 329, 336, 272, 328, 340, 343, 344, 363]",950,1000
51,"[353, 331, 288, 341, 317]",982,1000
52,"[370, 354, 347, 375, 312, 357, 360, 351]",998,1000
53,"[362, 301, 392, 298, 368, 358]",878,1000
54,"[387, 316, 356, 318, 365, 367, 369]",955,1000
55,"[379, 388, 386, 389, 395, 384, 352, 330, 424]",935,1000
56,"[335, 391, 334, 378, 396, 425]",975,1000
57,"[355, 438, 385, 373, 397, 348, 417, 420]",861,1000
58,"[383, 454, 374, 418, 324, 402]",883,1000
59,"[403, 390, 366, 398, 399, 404, 405]",895,1000
60,"[423, 346, 469, 401, 442, 406, 364, 408]",996,1000
61,"[433, 435, 437, 407, 457, 450, 471, 456, 458]",891,1000
62,"[444, 432, 430, 359, 445, 474, 372]",986,1000
63,"[463, 400, 484, 434, 472, 517, 380]",975,1000
64,"[494, 466, 377, 429, 449, 478]",905,1000
65,"[464, 488, 515, 412, 447, 413, 411, 475, 409]",973,1000
66,"[527, 415, 439, 416, 493, 491, 451, 414, 410]",887,1000
67,"[533, 507, 495, 499, 520, 436, 545]",881,1000
68,"[452, 428, 448, 510, 531]",948,1000
69,"[479, 443, 537, 455, 529, 551]",927,1000
70,"[459, 511, 453, 462, 512, 498, 468, 470]",955,1000
71,"[481, 522, 460, 550, 528, 552, 473]",980,1000
72,"[500, 535, 441, 489, 487, 565, 543]",906,1000
73,"[465, 486, 568, 446, 483, 557, 563, 514, 530, 506]",982,1000
74,"[524, 542, 521, 467, 534, 538]",888,1000
75,"[532, 569, 546, 485, 482]",869,1000
76,"[549, 567, 490, 497, 536, 581]",978,1000
77,"[480, 523, 508, 540, 477, 571, 554, 503]",941,1000
78,"[504, 518, 570, 502, 492, 501, 548]",992,1000
79,"[580, 513, 559, 461, 579, 509, 526]",1000,1000
80,"[544, 516, 575, 476, 505, 519, 525]",859,1000
81,"[496, 583, 577, 541, 539]",958,1000
82,"[564, 578, 595, 553, 603, 597, 576, 598]",917,1000
83,"[556, 572, 586, 555, 596, 566, 574, 606, 612, 613]",929,1000
84,"[619, 593, 645, 605, 637, 561, 627, 558]",934,1000
85,"[584, 640, 611, 655, 590, 654, 601, 662]",980,1000
86,"[664, 602, 547, 621, 615, 609]",944,1000
87,"[648, 634, 631, 663, 659, 676, 661, 678]",916,1000
88,"[667, 588, 696, 622, 562, 690]",943,1000
89,"[587, 633, 629, 573, 632, 652, 649]",984,1000
90,"[669, 599, 692, 592, 560, 635, 630, 624]",937,1000
91,"[666, 679, 695, 653, 600, 709, 694]",900,1000
92,"[697, 608, 660, 702, 706, 726, 618]",921,1000
93,"[589, 670, 582, 703, 656, 585]",963,1000
94,"[594, 628, 643, 591, 672, 607, 604, 614, 674, 626]",980,1000
95,"[616, 658, 646, 651, 639, 688, 665, 620, 699]",891,1000
96,"[720, 675, 708, 693, 722, 647]",845,1000
97,"[691, 610, 725, 650, 715, 617, 730, 680]",984,1000
98,"[625, 668, 689, 642, 673, 677, 684]",986,1000
99,"[686, 685, 681, 671, 705, 683, 707, 682, 623, 644]",971,1000
100,"[704, 728, 721, 636, 745]",904,1000
101,"[698, 712, 713, 748, 744, 641]",868,1000
102,"[711, 727, 736, 729, 764, 749, 717, 710, 723, 716, 714, 718]",877,1000
103,"[731, 740, 687, 732, 739, 724, 733, 787]",923,1000
104,"[638, 700, 742, 719, 737, 747]",998,1000
105,"[701, 657, 743, 763, 750]",946,1000
106,"[751, 803, 812, 738, 735, 762, 766]",830,1000
107,"[741, 754, 760, 789, 765]",921,1000
108,"[759, 752, 771, 768, 793, 734]",908,1000
109,"[774, 784, 777, 802, 773]",878,1000
110,"[755, 756, 807, 758, 776]",999,1000
111,"[801, 781, 804, 757, 816, 819]",802,1000
112,"[746, 839, 761, 782, 799, 770]",975,1000
113,"[767, 818, 822, 785, 778, 788, 813, 779, 775, 842]",954,1000
114,"[783, 838, 753, 772, 806, 843]",920,1000
115,"[780, 796, 795, 800, 791, 769, 786]",750,1000
116,"[798, 794, 792, 844]",874,1000
117,"[797, 805, 817, 824, 820, 835, 866]",984,1000
118,"[811, 821, 809, 886, 854, 830, 827]",891,1000
119,"[810, 790, 831, 836, 857, 823]",931,1000
120,"[845, 833, 865, 862, 834, 814, 808, 841, 858, 840]",977,1000
121,"[885, 852, 826, 825, 829, 853, 861]",997,1000
122,"[887, 815, 828, 855, 896, 884, 851]",943,1000
123,"[846, 914, 832, 903, 939, 859, 856]",783,1000
124,"[837, 910, 847, 946]",822,1000
125,"[944, 956, 960, 985, 940, 868]",971,1000
126,"[860, 963, 983, 848, 849, 871, 876, 890]",938,1000
127,"[907, 864, 870, 878, 893]",990,1000
128,"[850, 869, 894, 888, 916, 998]",998,1000
129,"[873, 891, 877, 938, 943, 964, 905, 965]",864,1000
130,"[872, 982, 911, 955, 898, 875, 863, 902]",981,1000
131,"[954, 895, 975, 881, 909, 889]",862,1000
132,"[892, 874, 936, 867, 899, 908, 979, 990, 906]",995,1000
